"","ID","birth_date","sex","ID_father","ID_mother","mother","father","date_prev_birth","HH_ID","hh_position"
"1",47,1913-01-02,2,NA,NA,0,0,NA,347123,2
"2",108,1916-11-14,2,NA,NA,0,0,NA,319294,2
"3",561,1925-12-23,2,NA,NA,0,0,NA,347730,2
"4",2056,1938-06-14,1,NA,NA,0,1,NA,168084,5
"5",2533,1940-12-15,2,NA,NA,1,0,NA,168084,5
"6",4161,1948-09-05,1,NA,NA,0,0,NA,67,3
"7",4535,1950-05-05,1,NA,NA,0,0,NA,95110,3
"8",4890,1951-11-20,2,NA,NA,0,0,NA,95110,3
"9",5487,1954-08-26,2,NA,NA,0,0,1974-06-30,67,3
"10",5779,1955-11-24,1,NA,NA,0,1,NA,390078,3
"11",5999,1956-12-24,2,NA,NA,1,0,1985-06-30,390078,3
"12",7713,1964-03-04,2,2056,2533,1,0,1990-06-30,168084,4
"13",10024,1975-12-23,1,NA,NA,0,0,NA,393295,2
"14",11206,1983-01-30,2,5779,5999,0,0,NA,390078,1
"15",11612,1985-06-26,1,5779,5999,0,0,NA,390078,1
"16",12494,1990-12-30,2,NA,7713,0,0,NA,168084,1
"17",14421,1906-10-09,1,NA,NA,0,0,NA,93322,2
"18",14506,1907-04-22,2,NA,NA,0,0,NA,341797,2
"19",15824,1911-03-24,1,NA,NA,0,0,NA,318840,2
"20",16474,1912-03-21,1,NA,NA,0,0,NA,323552,2
"21",16643,1912-06-27,1,NA,NA,0,0,NA,52915,3
"22",17009,1912-11-13,2,NA,NA,0,0,NA,206045,2
"23",17927,1913-10-25,2,NA,NA,0,0,NA,222481,2
"24",18816,1914-08-14,1,NA,NA,0,0,NA,243714,3
"25",20633,1915-12-21,2,NA,NA,0,0,NA,345296,2
"26",21684,1916-11-01,2,NA,NA,0,0,NA,209439,2
"27",22348,1917-05-20,2,NA,NA,0,0,NA,243714,3
"28",23093,1918-02-09,2,NA,NA,1,0,NA,315483,4
"29",24758,1919-04-19,2,NA,NA,0,0,NA,414473,2
"30",24841,1919-04-23,2,NA,NA,0,0,NA,328110,3
"31",26978,1920-02-15,1,NA,NA,0,0,NA,328110,3
"32",27618,1920-04-11,2,NA,NA,0,0,NA,314458,2
"33",28428,1920-07-23,1,NA,NA,0,1,NA,97625,3
"34",28870,1920-09-09,2,NA,NA,0,0,NA,412295,3
"35",29064,1920-09-08,2,NA,NA,1,0,NA,304336,3
"36",30082,1921-01-30,2,NA,NA,0,0,NA,390838,2
"37",31531,1921-06-03,1,NA,NA,0,1,NA,304336,3
"38",34183,1922-03-25,2,NA,NA,0,0,NA,172057,3
"39",34573,1922-05-11,1,NA,NA,0,0,NA,172057,3
"40",38080,1923-04-18,2,NA,NA,0,0,NA,259184,2
"41",38218,1923-05-05,1,NA,NA,0,0,NA,412295,3
"42",39182,1923-08-30,2,NA,NA,0,0,NA,33298,2
