"ID","HH_ID","hh_position","ID_partner","HH_ID_target","ID_partner_target","hh_position_target","event_type","ID_mother","ID_father","sex","birth_date","mother","father","age_group_hh","age_group_pop","event_date","age","main_parent"
89638,88614,"child",NA,4731624,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-01",NA,NA
2825396,88614,"union_w_child",5497506,88614,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-01",33,NA
5497506,88614,"union_w_child",2825396,4731624,NA,"single_parent","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-01",31,NA
9566336,911837,"child",NA,4732023,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-01",28,NA
774891,715086,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-01",NA,NA
3906496,1927689,NA,2420592,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-01",59,NA
7473645,3278990,NA,5125378,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-01",80,NA
2420592,1927689,"union",NA,1927689,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-01",62,NA
5125378,3278990,"union",NA,3278990,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-01",74,NA
183075,179121,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,4,4,"2011-01-01",NA,NA
4920934,2307309,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-01",NA,NA
7740533,1762051,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-01",NA,NA
4486006,3015599,"single",NA,4731676,5522816,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-02",29,NA
5522816,3429167,"single",4486006,4731676,4486006,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-02",34,NA
10834773,907875,"child",NA,4732053,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-02",22,NA
508479,427651,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-02",NA,NA
7605575,1478965,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-02",NA,NA
6079441,19290,"child",NA,4731969,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-03",38,NA
11000383,1596872,NA,NA,NA,NA,NA,"birth",7840148,1920190,"F",2011-01-03,NA,NA,1,1,"2011-01-03",NA,7840148
2425171,1930633,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-03",NA,NA
3576338,701873,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-03",NA,NA
4959473,2982392,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-03",NA,NA
5690322,3489188,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-03",NA,NA
9266455,800689,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-03",NA,NA
6225056,2941037,"other",NA,4731973,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-04",25,NA
11000290,2635840,NA,NA,NA,NA,NA,"birth",3676759,10001794,"M",2011-01-04,NA,NA,1,1,"2011-01-04",NA,3676759
11000456,2204049,NA,NA,NA,NA,NA,"birth",10626587,2878132,"F",2011-01-04,NA,NA,1,1,"2011-01-04",NA,10626587
11000782,4732401,"union",11000795,NA,NA,NA,"immigration",NA,NA,"F",1982-01-10,NA,NA,3,3,"2011-01-04",NA,NA
11000795,4732401,"union",11000782,NA,NA,NA,"immigration",NA,NA,"M",1980-09-21,NA,NA,3,3,"2011-01-04",NA,NA
2839525,2181642,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-04",94,NA
6048747,3611631,NA,7328019,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-04",86,NA
7328019,3611631,"union",NA,4732064,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-04",87,NA
874731,799885,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-04",NA,NA
7171768,1719339,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-04",NA,NA
7311860,4731994,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-04",NA,NA
8961875,1745253,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-04",NA,NA
1017266,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-05",NA,NA
3209445,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-05",NA,NA
3515435,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-05",NA,NA
5573907,917770,"single_parent",NA,4731750,6461805,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-05",47,NA
6461805,670534,"non_family",5573907,4731750,5573907,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-05",48,NA
11000330,1622293,NA,NA,NA,NA,NA,"birth",5921138,1956928,"M",2011-01-05,NA,NA,1,1,"2011-01-05",NA,5921138
647699,605026,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-05",NA,NA
2042995,1680814,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-05",NA,NA
2219644,1798439,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-05",NA,NA
2408518,614644,"child",5626285,4731781,5626285,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-06",27,NA
4466473,2310984,"child",NA,4731951,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-06",47,NA
5626285,1774846,"child",NA,4731781,2408518,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-06",25,NA
2130285,1662875,NA,2016584,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-06",77,NA
5445489,3400785,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-06",79,NA
2016584,1662875,"union",NA,1662875,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-06",73,NA
64641,64108,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-06",NA,NA
4593149,531356,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-06",NA,NA
7342173,3997941,"single",NA,4732064,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-07",78,NA
11000232,566395,NA,NA,NA,NA,NA,"birth",1183045,6663068,"M",2011-01-07,NA,NA,1,1,"2011-01-07",NA,1183045
2593466,2035042,"child",NA,4731816,10603468,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-08",26,NA
3437080,1043783,"child",NA,4731936,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-08",22,NA
3448570,2518619,"single_parent",NA,4731674,5273813,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-08",28,NA
4257825,2518619,"child",NA,4731674,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-08",NA,NA
5273813,3336120,"single",3448570,4731674,3448570,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-08",36,NA
7583306,4061284,"single",NA,4061284,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-08",57,NA
10603468,4673065,"single",2593466,4731816,2593466,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-08",48,NA
