"ID","HH_ID","hh_position","ID_partner","HH_ID_target","ID_partner_target","hh_position_target","event_type","ID_mother","ID_father","sex","birth_date","mother","father","age_group_hh","age_group_pop","event_date","age","main_parent","NH"
89638,88614,"child",NA,4731624,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-01,NA,NA,0
2825396,88614,"union_w_child",5497506,88614,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-01,33,NA,0
5497506,88614,"union_w_child",2825396,4731624,NA,"single_parent","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-01,31,NA,0
9566336,911837,"child",NA,4732023,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-01,28,NA,0
774891,715086,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-01,NA,NA,0
3906496,1927689,NA,2420592,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-01,59,NA,0
7473645,3278990,NA,5125378,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-01,80,NA,0
2420592,1927689,"union",NA,1927689,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-01,62,NA,0
5125378,3278990,"union",NA,3278990,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-01,74,NA,0
183075,179121,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,4,4,2011-01-01,NA,NA,0
4920934,2307309,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-01,NA,NA,0
7740533,1762051,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,2011-01-01,NA,NA,0
4486006,3015599,"single",NA,4731676,5522816,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-02,29,NA,0
5522816,3429167,"single",4486006,4731676,4486006,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-02,34,NA,0
10834773,907875,"child",NA,4732053,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-02,22,NA,0
508479,427651,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-02,NA,NA,0
7605575,1478965,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-02,NA,NA,0
6079441,19290,"child",NA,4731969,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-03,38,NA,0
11000383,1596872,NA,NA,NA,NA,NA,"birth",7840148,1920190,"F",2011-01-03,NA,NA,1,1,2011-01-03,NA,7840148,0
2425171,1930633,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-03,NA,NA,0
3576338,701873,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-03,NA,NA,0
4959473,2982392,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-03,NA,NA,0
5690322,3489188,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-03,NA,NA,0
9266455,800689,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-03,NA,NA,0
6225056,2941037,"other",NA,4731973,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-04,25,NA,0
11000290,2635840,NA,NA,NA,NA,NA,"birth",3676759,10001794,"M",2011-01-04,NA,NA,1,1,2011-01-04,NA,3676759,0
11000456,2204049,NA,NA,NA,NA,NA,"birth",10626587,2878132,"F",2011-01-04,NA,NA,1,1,2011-01-04,NA,10626587,0
11000782,4732401,"union",11000795,NA,NA,NA,"immigration",NA,NA,"F",1982-01-10,NA,NA,3,3,2011-01-04,NA,NA,0
11000795,4732401,"union",11000782,NA,NA,NA,"immigration",NA,NA,"M",1980-09-21,NA,NA,3,3,2011-01-04,NA,NA,0
2839525,2181642,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-04,94,NA,0
6048747,3611631,NA,7328019,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-04,86,NA,0
7328019,3611631,"union",NA,4732064,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-04,87,NA,1
874731,799885,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-04,NA,NA,0
7171768,1719339,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,2011-01-04,NA,NA,0
7311860,4731994,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-04,NA,NA,0
8961875,1745253,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-04,NA,NA,0
1017266,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-05,NA,NA,0
3209445,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-05,NA,NA,0
3515435,917770,"child",NA,4731750,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-05,NA,NA,0
5573907,917770,"single_parent",NA,4731750,6461805,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-05,47,NA,0
6461805,670534,"non_family",5573907,4731750,5573907,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-05,48,NA,0
11000330,1622293,NA,NA,NA,NA,NA,"birth",5921138,1956928,"M",2011-01-05,NA,NA,1,1,2011-01-05,NA,5921138,0
647699,605026,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-05,NA,NA,0
2042995,1680814,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-05,NA,NA,0
2219644,1798439,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-05,NA,NA,0
2408518,614644,"child",5626285,4731781,5626285,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-06,27,NA,0
4466473,2310984,"child",NA,4731951,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-06,47,NA,0
5626285,1774846,"child",NA,4731781,2408518,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-06,25,NA,0
2130285,1662875,NA,2016584,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-06,77,NA,0
5445489,3400785,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-06,79,NA,0
2016584,1662875,"union",NA,1662875,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-06,73,NA,0
64641,64108,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-06,NA,NA,0
4593149,531356,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-06,NA,NA,0
7342173,3997941,"single",NA,4732064,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-07,78,NA,1
11000232,566395,NA,NA,NA,NA,NA,"birth",1183045,6663068,"M",2011-01-07,NA,NA,1,1,2011-01-07,NA,1183045,0
2593466,2035042,"child",NA,4731816,10603468,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-08,26,NA,0
3437080,1043783,"child",NA,4731936,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-08,22,NA,0
3448570,2518619,"single_parent",NA,4731674,5273813,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-08,28,NA,0
4257825,2518619,"child",NA,4731674,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-08,NA,NA,0
5273813,3336120,"single",3448570,4731674,3448570,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-08,36,NA,0
7583306,4061284,"single",NA,4061284,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-08,57,NA,0
10603468,4673065,"single",2593466,4731816,2593466,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-08,48,NA,0
11000743,4732362,"single",NA,NA,NA,NA,"immigration",NA,NA,"F",1992-03-22,NA,NA,3,3,2011-01-08,NA,NA,0
746899,691075,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-08,NA,NA,0
3257093,1886286,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,2011-01-08,NA,NA,0
4125655,1583745,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-08,NA,NA,0
6100294,2704685,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-08,NA,NA,0
678104,631515,"single",7841270,4731694,7841270,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-09,21,NA,0
7654442,1858503,"other",NA,4732059,NA,"collective","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-09,27,NA,1
7841270,1304255,"child",NA,4731694,678104,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-09,21,NA,0
2899002,2216140,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,2011-01-09,NA,NA,0
11000539,4732161,"child",NA,NA,NA,NA,"immigration",11000542,11000614,"F",1996-04-25,NA,NA,2,2,2011-01-09,NA,NA,0
11000542,4732161,"union_w_child",11000614,NA,NA,NA,"immigration",NA,NA,"F",1979-07-31,NA,NA,3,3,2011-01-09,NA,NA,0
11000614,4732161,"union_w_child",11000542,NA,NA,NA,"immigration",NA,NA,"M",1977-05-21,NA,NA,3,3,2011-01-09,NA,NA,0
11000684,4732161,"child",NA,NA,NA,NA,"immigration",11000542,11000614,"M",2008-11-25,NA,NA,1,1,2011-01-09,NA,NA,0
1351342,1182393,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-09,52,NA,0
2843690,2184053,"child",NA,4731923,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-10,22,NA,0
5010253,3233681,"single",NA,4731875,NA,"other","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-10,85,NA,0
8344575,391291,"child",NA,4732005,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-10,26,NA,0
11000590,4732209,"single",NA,NA,NA,NA,"immigration",NA,NA,"M",1992-01-09,NA,NA,3,3,2011-01-10,NA,NA,0
7829276,2204110,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,2011-01-10,NA,NA,0
8823442,2897882,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,2011-01-10,NA,NA,0
127159,125189,"union",664814,4731583,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-11,25,NA,0
664814,125189,"union",127159,125189,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,2011-01-11,24,NA,0
3120864,2198642,NA,2868777,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,2011-01-11,75,NA,0
2868777,2198642,"union",NA,2198642,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,2011-01-11,72,NA,0
