exp_name,id,pop_state_infected,pop_state_symptomatic,pop_state_asymptomatic,household_state_infected,household_state_symptomatic,household_state_asymptomatic,seed
test_01,1,0,0,0,0.025,0.05,0.025,2926
test_01,2,0,0,0,0.025,0.05,0.025,2337
test_01,3,0,0,0,0.025,0.05,0.025,3533
test_01,4,0,0,0,0.025,0.05,0.025,5896
test_01,5,0,0,0,0.025,0.05,0.025,2554
test_01,6,0,0,0,0.025,0.05,0.025,3137
test_01,7,0,0,0,0.025,0.05,0.025,3728
test_01,8,0,0,0,0.025,0.05,0.025,7759
test_01,9,0,0,0,0.025,0.05,0.025,6202
test_01,10,0,0,0,0.025,0.05,0.025,2702
test_01,11,0,0,0,0.025,0.05,0.025,3935
test_01,12,0,0,0,0.025,0.05,0.025,5211
test_01,13,0,0,0,0.025,0.05,0.025,9457
test_01,14,0,0,0,0.025,0.05,0.025,5416
test_01,15,0,0,0,0.025,0.05,0.025,9469
test_01,16,0,0,0,0.025,0.05,0.025,6705
test_01,17,0,0,0,0.025,0.05,0.025,1090
test_01,18,0,0,0,0.025,0.05,0.025,827
test_01,19,0,0,0,0.025,0.05,0.025,5487
test_01,20,0,0,0,0.025,0.05,0.025,3848
test_01,21,0,0,0,0.025,0.05,0.025,7228
test_01,22,0,0,0,0.025,0.05,0.025,9008
test_01,23,0,0,0,0.025,0.05,0.025,5604
test_01,24,0,0,0,0.025,0.05,0.025,9812
test_01,25,0,0,0,0.025,0.05,0.025,122
test_01,26,0,0,0,0.025,0.05,0.025,1864
test_01,27,0,0,0,0.025,0.05,0.025,2139
test_01,28,0,0,0,0.025,0.05,0.025,4133
test_01,29,0,0,0,0.025,0.05,0.025,1541
test_01,30,0,0,0,0.025,0.05,0.025,5908
test_01,31,0,0,0,0.025,0.05,0.025,2071
test_01,32,0,0,0,0.025,0.05,0.025,4166
test_01,33,0,0,0,0.025,0.05,0.025,3440
test_01,34,0,0,0,0.025,0.05,0.025,8218
test_01,35,0,0,0,0.025,0.05,0.025,2875
test_01,36,0,0,0,0.025,0.05,0.025,4629
test_01,37,0,0,0,0.025,0.05,0.025,2563
test_01,38,0,0,0,0.025,0.05,0.025,8849
test_01,39,0,0,0,0.025,0.05,0.025,9210
test_01,40,0,0,0,0.025,0.05,0.025,3526
test_01,41,0,0,0,0.025,0.05,0.025,1273
test_01,42,0,0,0,0.025,0.05,0.025,3857
test_01,43,0,0,0,0.025,0.05,0.025,8938
test_01,44,0,0,0,0.025,0.05,0.025,7435
test_01,45,0,0,0,0.025,0.05,0.025,5099
test_01,46,0,0,0,0.025,0.05,0.025,2364
test_01,47,0,0,0,0.025,0.05,0.025,6587
test_01,48,0,0,0,0.025,0.05,0.025,8034
test_01,49,0,0,0,0.025,0.05,0.025,4793
test_01,50,0,0,0,0.025,0.05,0.025,704
test_01,51,0,0,0,0.05,0.1,0.05,3252
test_01,52,0,0,0,0.05,0.1,0.05,5795
test_01,53,0,0,0,0.05,0.1,0.05,666
test_01,54,0,0,0,0.05,0.1,0.05,4510
test_01,55,0,0,0,0.05,0.1,0.05,9143
test_01,56,0,0,0,0.05,0.1,0.05,6616
test_01,57,0,0,0,0.05,0.1,0.05,1640
test_01,58,0,0,0,0.05,0.1,0.05,2095
test_01,59,0,0,0,0.05,0.1,0.05,7355
test_01,60,0,0,0,0.05,0.1,0.05,9947
test_01,61,0,0,0,0.05,0.1,0.05,5953
test_01,62,0,0,0,0.05,0.1,0.05,1284
test_01,63,0,0,0,0.05,0.1,0.05,1006
test_01,64,0,0,0,0.05,0.1,0.05,3715
test_01,65,0,0,0,0.05,0.1,0.05,4043
test_01,66,0,0,0,0.05,0.1,0.05,1480
test_01,67,0,0,0,0.05,0.1,0.05,6507
test_01,68,0,0,0,0.05,0.1,0.05,3438
test_01,69,0,0,0,0.05,0.1,0.05,9403
test_01,70,0,0,0,0.05,0.1,0.05,3971
test_01,71,0,0,0,0.05,0.1,0.05,4277
test_01,72,0,0,0,0.05,0.1,0.05,1818
test_01,73,0,0,0,0.05,0.1,0.05,5961
test_01,74,0,0,0,0.05,0.1,0.05,3787
test_01,75,0,0,0,0.05,0.1,0.05,3532
test_01,76,0,0,0,0.05,0.1,0.05,9193
test_01,77,0,0,0,0.05,0.1,0.05,1513
test_01,78,0,0,0,0.05,0.1,0.05,3985
test_01,79,0,0,0,0.05,0.1,0.05,8481
test_01,80,0,0,0,0.05,0.1,0.05,9547
test_01,81,0,0,0,0.05,0.1,0.05,317
test_01,82,0,0,0,0.05,0.1,0.05,6964
test_01,83,0,0,0,0.05,0.1,0.05,9333
test_01,84,0,0,0,0.05,0.1,0.05,1153
test_01,85,0,0,0,0.05,0.1,0.05,9398
test_01,86,0,0,0,0.05,0.1,0.05,3757
test_01,87,0,0,0,0.05,0.1,0.05,2653
test_01,88,0,0,0,0.05,0.1,0.05,3763
test_01,89,0,0,0,0.05,0.1,0.05,5298
test_01,90,0,0,0,0.05,0.1,0.05,1385
test_01,91,0,0,0,0.05,0.1,0.05,3650
test_01,92,0,0,0,0.05,0.1,0.05,288
test_01,93,0,0,0,0.05,0.1,0.05,7824
test_01,94,0,0,0,0.05,0.1,0.05,5684
test_01,95,0,0,0,0.05,0.1,0.05,1082
test_01,96,0,0,0,0.05,0.1,0.05,8101
test_01,97,0,0,0,0.05,0.1,0.05,4530
test_01,98,0,0,0,0.05,0.1,0.05,233
test_01,99,0,0,0,0.05,0.1,0.05,6024
test_01,100,0,0,0,0.05,0.1,0.05,3846
test_01,101,0,0,0,0.075,0.15,0.075,9084
test_01,102,0,0,0,0.075,0.15,0.075,2367
test_01,103,0,0,0,0.075,0.15,0.075,535
test_01,104,0,0,0,0.075,0.15,0.075,8344
test_01,105,0,0,0,0.075,0.15,0.075,9705
test_01,106,0,0,0,0.075,0.15,0.075,4894
test_01,107,0,0,0,0.075,0.15,0.075,3081
test_01,108,0,0,0,0.075,0.15,0.075,2253
test_01,109,0,0,0,0.075,0.15,0.075,8787
test_01,110,0,0,0,0.075,0.15,0.075,8128
test_01,111,0,0,0,0.075,0.15,0.075,3467
test_01,112,0,0,0,0.075,0.15,0.075,5486
test_01,113,0,0,0,0.075,0.15,0.075,6811
test_01,114,0,0,0,0.075,0.15,0.075,5450
test_01,115,0,0,0,0.075,0.15,0.075,2091
test_01,116,0,0,0,0.075,0.15,0.075,6970
test_01,117,0,0,0,0.075,0.15,0.075,6145
test_01,118,0,0,0,0.075,0.15,0.075,1315
test_01,119,0,0,0,0.075,0.15,0.075,4016
test_01,120,0,0,0,0.075,0.15,0.075,5488
test_01,121,0,0,0,0.075,0.15,0.075,5136
test_01,122,0,0,0,0.075,0.15,0.075,4169
test_01,123,0,0,0,0.075,0.15,0.075,6941
test_01,124,0,0,0,0.075,0.15,0.075,4204
test_01,125,0,0,0,0.075,0.15,0.075,485
test_01,126,0,0,0,0.075,0.15,0.075,4297
test_01,127,0,0,0,0.075,0.15,0.075,5176
test_01,128,0,0,0,0.075,0.15,0.075,8132
test_01,129,0,0,0,0.075,0.15,0.075,6519
test_01,130,0,0,0,0.075,0.15,0.075,9926
test_01,131,0,0,0,0.075,0.15,0.075,773
test_01,132,0,0,0,0.075,0.15,0.075,3329
test_01,133,0,0,0,0.075,0.15,0.075,7167
test_01,134,0,0,0,0.075,0.15,0.075,9916
test_01,135,0,0,0,0.075,0.15,0.075,4316
test_01,136,0,0,0,0.075,0.15,0.075,4162
test_01,137,0,0,0,0.075,0.15,0.075,6560
test_01,138,0,0,0,0.075,0.15,0.075,5991
test_01,139,0,0,0,0.075,0.15,0.075,6108
test_01,140,0,0,0,0.075,0.15,0.075,2510
test_01,141,0,0,0,0.075,0.15,0.075,7704
test_01,142,0,0,0,0.075,0.15,0.075,2658
test_01,143,0,0,0,0.075,0.15,0.075,7312
test_01,144,0,0,0,0.075,0.15,0.075,1014
test_01,145,0,0,0,0.075,0.15,0.075,6748
test_01,146,0,0,0,0.075,0.15,0.075,4990
test_01,147,0,0,0,0.075,0.15,0.075,1131
test_01,148,0,0,0,0.075,0.15,0.075,9839
test_01,149,0,0,0,0.075,0.15,0.075,3334
test_01,150,0,0,0,0.075,0.15,0.075,2779
test_01,151,0,0,0,0.1,0.2,0.1,7531
test_01,152,0,0,0,0.1,0.2,0.1,7216
test_01,153,0,0,0,0.1,0.2,0.1,8379
test_01,154,0,0,0,0.1,0.2,0.1,3030
test_01,155,0,0,0,0.1,0.2,0.1,2491
test_01,156,0,0,0,0.1,0.2,0.1,8824
test_01,157,0,0,0,0.1,0.2,0.1,9371
test_01,158,0,0,0,0.1,0.2,0.1,7116
test_01,159,0,0,0,0.1,0.2,0.1,2699
test_01,160,0,0,0,0.1,0.2,0.1,7787
test_01,161,0,0,0,0.1,0.2,0.1,11
test_01,162,0,0,0,0.1,0.2,0.1,33
test_01,163,0,0,0,0.1,0.2,0.1,1077
test_01,164,0,0,0,0.1,0.2,0.1,5428
test_01,165,0,0,0,0.1,0.2,0.1,5698
test_01,166,0,0,0,0.1,0.2,0.1,3586
test_01,167,0,0,0,0.1,0.2,0.1,2090
test_01,168,0,0,0,0.1,0.2,0.1,9654
test_01,169,0,0,0,0.1,0.2,0.1,8082
test_01,170,0,0,0,0.1,0.2,0.1,2606
test_01,171,0,0,0,0.1,0.2,0.1,943
test_01,172,0,0,0,0.1,0.2,0.1,7664
test_01,173,0,0,0,0.1,0.2,0.1,710
test_01,174,0,0,0,0.1,0.2,0.1,4533
test_01,175,0,0,0,0.1,0.2,0.1,2272
test_01,176,0,0,0,0.1,0.2,0.1,9157
test_01,177,0,0,0,0.1,0.2,0.1,6910
test_01,178,0,0,0,0.1,0.2,0.1,9314
test_01,179,0,0,0,0.1,0.2,0.1,7588
test_01,180,0,0,0,0.1,0.2,0.1,5998
test_01,181,0,0,0,0.1,0.2,0.1,8852
test_01,182,0,0,0,0.1,0.2,0.1,8248
test_01,183,0,0,0,0.1,0.2,0.1,5295
test_01,184,0,0,0,0.1,0.2,0.1,9721
test_01,185,0,0,0,0.1,0.2,0.1,7541
test_01,186,0,0,0,0.1,0.2,0.1,1264
test_01,187,0,0,0,0.1,0.2,0.1,2739
test_01,188,0,0,0,0.1,0.2,0.1,1086
test_01,189,0,0,0,0.1,0.2,0.1,1048
test_01,190,0,0,0,0.1,0.2,0.1,4188
