exp_name,id,pop_state_infected,pop_state_symptomatic,pop_state_asymptomatic,household_state_infected,household_state_symptomatic,household_state_asymptomatic,seed,delta,delta_nursing_home
sim1,1,0.008,0.016,0.008,0.025,0.05,0.025,3838,10,10
sim1,2,0.008,0.016,0.008,0.025,0.05,0.025,7739,10,10
sim1,3,0.008,0.016,0.008,0.025,0.05,0.025,9267,10,10
sim1,4,0.008,0.016,0.008,0.025,0.05,0.025,8255,10,10
sim1,5,0.008,0.016,0.008,0.025,0.05,0.025,3925,10,10
sim1,6,0.008,0.016,0.008,0.025,0.05,0.025,4043,10,10
sim1,7,0.008,0.016,0.008,0.025,0.05,0.025,8924,10,10
sim1,8,0.008,0.016,0.008,0.025,0.05,0.025,3611,10,10
sim1,9,0.008,0.016,0.008,0.025,0.05,0.025,4240,10,10
sim1,10,0.008,0.016,0.008,0.025,0.05,0.025,47,10,10
sim1,11,0.008,0.016,0.008,0.025,0.05,0.025,7873,10,10
sim1,12,0.008,0.016,0.008,0.025,0.05,0.025,2195,10,10
sim1,13,0.008,0.016,0.008,0.025,0.05,0.025,8784,10,10
sim1,14,0.008,0.016,0.008,0.025,0.05,0.025,5572,10,10
sim1,15,0.008,0.016,0.008,0.025,0.05,0.025,9107,10,10
sim1,16,0.008,0.016,0.008,0.025,0.05,0.025,7817,10,10
sim1,17,0.008,0.016,0.008,0.025,0.05,0.025,3331,10,10
sim1,18,0.008,0.016,0.008,0.025,0.05,0.025,2540,10,10
sim1,19,0.008,0.016,0.008,0.025,0.05,0.025,9780,10,10
sim1,20,0.008,0.016,0.008,0.025,0.05,0.025,2170,10,10
sim1,21,0.008,0.016,0.008,0.025,0.05,0.025,7004,10,10
sim1,22,0.008,0.016,0.008,0.025,0.05,0.025,9009,10,10
sim1,23,0.008,0.016,0.008,0.025,0.05,0.025,749,10,10
sim1,24,0.008,0.016,0.008,0.025,0.05,0.025,6999,10,10
sim1,25,0.008,0.016,0.008,0.025,0.05,0.025,8760,10,10
sim1,26,0.008,0.016,0.008,0.025,0.05,0.025,5341,10,10
sim1,27,0.008,0.016,0.008,0.025,0.05,0.025,6536,10,10
sim1,28,0.008,0.016,0.008,0.025,0.05,0.025,9118,10,10
sim1,29,0.008,0.016,0.008,0.025,0.05,0.025,133,10,10
