exp_name,id,pop_state_infected,pop_state_symptomatic,pop_state_asymptomatic,household_state_infected,household_state_symptomatic,household_state_asymptomatic,seed,delta,delta_nursing_home
sim_part2,331,0.008,0.016,0.008,0.025,0.05,0.025,7165,10,5
sim_part2,332,0.008,0.016,0.008,0.025,0.05,0.025,2661,10,5
sim_part2,333,0.008,0.016,0.008,0.025,0.05,0.025,307,10,5
sim_part2,334,0.008,0.016,0.008,0.025,0.05,0.025,584,10,5
sim_part2,335,0.008,0.016,0.008,0.025,0.05,0.025,5203,10,5
sim_part2,336,0.008,0.016,0.008,0.025,0.05,0.025,6211,10,5
sim_part2,337,0.008,0.016,0.008,0.025,0.05,0.025,5868,10,5
sim_part2,338,0.008,0.016,0.008,0.025,0.05,0.025,5084,10,5
sim_part2,339,0.008,0.016,0.008,0.025,0.05,0.025,7952,10,5
sim_part2,340,0.008,0.016,0.008,0.025,0.05,0.025,2007,10,5
sim_part2,341,0.008,0.016,0.008,0.025,0.05,0.025,6721,10,5
sim_part2,342,0.008,0.016,0.008,0.025,0.05,0.025,4238,10,5
sim_part2,343,0.008,0.016,0.008,0.025,0.05,0.025,2637,10,5
sim_part2,344,0.008,0.016,0.008,0.025,0.05,0.025,4424,10,5
sim_part2,345,0.008,0.016,0.008,0.025,0.05,0.025,2439,10,5
sim_part2,346,0.008,0.016,0.008,0.025,0.05,0.025,2989,10,5
sim_part2,347,0.008,0.016,0.008,0.025,0.05,0.025,1861,10,5
sim_part2,348,0.008,0.016,0.008,0.025,0.05,0.025,5421,10,5
sim_part2,349,0.008,0.016,0.008,0.025,0.05,0.025,1938,10,5
sim_part2,350,0.008,0.016,0.008,0.025,0.05,0.025,2544,10,5
sim_part2,351,0.008,0.016,0.008,0.025,0.05,0.025,9579,10,5
sim_part2,352,0.008,0.016,0.008,0.025,0.05,0.025,952,10,5
sim_part2,353,0.008,0.016,0.008,0.025,0.05,0.025,7369,10,5
sim_part2,354,0.008,0.016,0.008,0.025,0.05,0.025,7793,10,5
sim_part2,355,0.008,0.016,0.008,0.025,0.05,0.025,8571,10,5
sim_part2,356,0.008,0.016,0.008,0.025,0.05,0.025,7456,10,5
sim_part2,357,0.008,0.016,0.008,0.025,0.05,0.025,6181,10,5
sim_part2,358,0.008,0.016,0.008,0.025,0.05,0.025,8952,10,5
sim_part2,359,0.008,0.016,0.008,0.025,0.05,0.025,1409,10,5
sim_part2,360,0.008,0.016,0.008,0.025,0.05,0.025,512,10,5
sim_part2,361,0.01,0.02,0.01,0.025,0.05,0.025,8017,10,5
sim_part2,362,0.01,0.02,0.01,0.025,0.05,0.025,9192,10,5
sim_part2,363,0.01,0.02,0.01,0.025,0.05,0.025,7732,10,5
sim_part2,364,0.01,0.02,0.01,0.025,0.05,0.025,7376,10,5
sim_part2,365,0.01,0.02,0.01,0.025,0.05,0.025,4384,10,5
sim_part2,366,0.01,0.02,0.01,0.025,0.05,0.025,4521,10,5
sim_part2,367,0.01,0.02,0.01,0.025,0.05,0.025,9694,10,5
sim_part2,368,0.01,0.02,0.01,0.025,0.05,0.025,5465,10,5
sim_part2,369,0.01,0.02,0.01,0.025,0.05,0.025,6840,10,5
sim_part2,370,0.01,0.02,0.01,0.025,0.05,0.025,5902,10,5
sim_part2,371,0.01,0.02,0.01,0.025,0.05,0.025,7443,10,5
sim_part2,372,0.01,0.02,0.01,0.025,0.05,0.025,2192,10,5
sim_part2,373,0.01,0.02,0.01,0.025,0.05,0.025,3798,10,5
sim_part2,374,0.01,0.02,0.01,0.025,0.05,0.025,4041,10,5
sim_part2,375,0.01,0.02,0.01,0.025,0.05,0.025,2373,10,5
sim_part2,376,0.01,0.02,0.01,0.025,0.05,0.025,529,10,5
sim_part2,377,0.01,0.02,0.01,0.025,0.05,0.025,2148,10,5
sim_part2,378,0.01,0.02,0.01,0.025,0.05,0.025,3353,10,5
sim_part2,379,0.01,0.02,0.01,0.025,0.05,0.025,3126,10,5
sim_part2,380,0.01,0.02,0.01,0.025,0.05,0.025,4539,10,5
sim_part2,381,0.01,0.02,0.01,0.025,0.05,0.025,2474,10,5
sim_part2,382,0.01,0.02,0.01,0.025,0.05,0.025,7622,10,5
sim_part2,383,0.01,0.02,0.01,0.025,0.05,0.025,1481,10,5
sim_part2,384,0.01,0.02,0.01,0.025,0.05,0.025,9745,10,5
sim_part2,385,0.01,0.02,0.01,0.025,0.05,0.025,2395,10,5
sim_part2,386,0.01,0.02,0.01,0.025,0.05,0.025,5125,10,5
sim_part2,387,0.01,0.02,0.01,0.025,0.05,0.025,1928,10,5
sim_part2,388,0.01,0.02,0.01,0.025,0.05,0.025,738,10,5
sim_part2,389,0.01,0.02,0.01,0.025,0.05,0.025,4291,10,5
sim_part2,390,0.01,0.02,0.01,0.025,0.05,0.025,7431,10,5
sim_part2,391,0.01,0.02,0.01,0.025,0.05,0.025,230,10,2
sim_part2,392,0.01,0.02,0.01,0.025,0.05,0.025,9044,10,2
sim_part2,393,0.01,0.02,0.01,0.025,0.05,0.025,1939,10,2
sim_part2,394,0.01,0.02,0.01,0.025,0.05,0.025,3416,10,2
sim_part2,395,0.01,0.02,0.01,0.025,0.05,0.025,6648,10,2
sim_part2,396,0.01,0.02,0.01,0.025,0.05,0.025,7261,10,2
sim_part2,397,0.01,0.02,0.01,0.025,0.05,0.025,8236,10,2
sim_part2,398,0.01,0.02,0.01,0.025,0.05,0.025,7585,10,2
sim_part2,399,0.01,0.02,0.01,0.025,0.05,0.025,4397,10,2
sim_part2,400,0.01,0.02,0.01,0.025,0.05,0.025,8646,10,2
sim_part2,401,0.01,0.02,0.01,0.025,0.05,0.025,7675,10,2
sim_part2,402,0.01,0.02,0.01,0.025,0.05,0.025,6739,10,2
sim_part2,403,0.01,0.02,0.01,0.025,0.05,0.025,193,10,2
sim_part2,404,0.01,0.02,0.01,0.025,0.05,0.025,5796,10,2
sim_part2,405,0.01,0.02,0.01,0.025,0.05,0.025,6440,10,2
sim_part2,406,0.01,0.02,0.01,0.025,0.05,0.025,3977,10,2
sim_part2,407,0.01,0.02,0.01,0.025,0.05,0.025,1071,10,2
sim_part2,408,0.01,0.02,0.01,0.025,0.05,0.025,8887,10,2
sim_part2,409,0.01,0.02,0.01,0.025,0.05,0.025,6438,10,2
sim_part2,410,0.01,0.02,0.01,0.025,0.05,0.025,975,10,2
sim_part2,411,0.01,0.02,0.01,0.025,0.05,0.025,3526,10,2
sim_part2,412,0.01,0.02,0.01,0.025,0.05,0.025,3783,10,2
sim_part2,413,0.01,0.02,0.01,0.025,0.05,0.025,6101,10,2
sim_part2,414,0.01,0.02,0.01,0.025,0.05,0.025,4658,10,2
sim_part2,415,0.01,0.02,0.01,0.025,0.05,0.025,3682,10,2
sim_part2,416,0.01,0.02,0.01,0.025,0.05,0.025,8135,10,2
sim_part2,417,0.01,0.02,0.01,0.025,0.05,0.025,5320,10,2
sim_part2,418,0.01,0.02,0.01,0.025,0.05,0.025,6153,10,2
sim_part2,419,0.01,0.02,0.01,0.025,0.05,0.025,2702,10,2
sim_part2,420,0.01,0.02,0.01,0.025,0.05,0.025,6739,10,2
sim_part2,421,0.01,0.02,0.01,0.0375,0.075,0.0375,5009,10,10
sim_part2,422,0.01,0.02,0.01,0.0375,0.075,0.0375,9757,10,10
sim_part2,423,0.01,0.02,0.01,0.0375,0.075,0.0375,7017,10,10
sim_part2,424,0.01,0.02,0.01,0.0375,0.075,0.0375,9839,10,10
sim_part2,425,0.01,0.02,0.01,0.0375,0.075,0.0375,5622,10,10
sim_part2,426,0.01,0.02,0.01,0.0375,0.075,0.0375,5834,10,10
sim_part2,427,0.01,0.02,0.01,0.0375,0.075,0.0375,2125,10,10
sim_part2,428,0.01,0.02,0.01,0.0375,0.075,0.0375,4306,10,10
sim_part2,429,0.01,0.02,0.01,0.0375,0.075,0.0375,4265,10,10
sim_part2,430,0.01,0.02,0.01,0.0375,0.075,0.0375,5077,10,10
sim_part2,431,0.01,0.02,0.01,0.0375,0.075,0.0375,9994,10,10
sim_part2,432,0.01,0.02,0.01,0.0375,0.075,0.0375,9080,10,10
sim_part2,433,0.01,0.02,0.01,0.0375,0.075,0.0375,7488,10,10
sim_part2,434,0.01,0.02,0.01,0.0375,0.075,0.0375,5920,10,10
sim_part2,435,0.01,0.02,0.01,0.0375,0.075,0.0375,7641,10,10
sim_part2,436,0.01,0.02,0.01,0.0375,0.075,0.0375,1317,10,10
sim_part2,437,0.01,0.02,0.01,0.0375,0.075,0.0375,292,10,10
sim_part2,438,0.01,0.02,0.01,0.0375,0.075,0.0375,6935,10,10
sim_part2,439,0.01,0.02,0.01,0.0375,0.075,0.0375,1994,10,10
sim_part2,440,0.01,0.02,0.01,0.0375,0.075,0.0375,4401,10,10
sim_part2,441,0.01,0.02,0.01,0.0375,0.075,0.0375,2897,10,10
sim_part2,442,0.01,0.02,0.01,0.0375,0.075,0.0375,878,10,10
sim_part2,443,0.01,0.02,0.01,0.0375,0.075,0.0375,151,10,10
sim_part2,444,0.01,0.02,0.01,0.0375,0.075,0.0375,293,10,10
sim_part2,445,0.01,0.02,0.01,0.0375,0.075,0.0375,4143,10,10
sim_part2,446,0.01,0.02,0.01,0.0375,0.075,0.0375,6687,10,10
sim_part2,447,0.01,0.02,0.01,0.0375,0.075,0.0375,8803,10,10
sim_part2,448,0.01,0.02,0.01,0.0375,0.075,0.0375,634,10,10
sim_part2,449,0.01,0.02,0.01,0.0375,0.075,0.0375,5950,10,10
sim_part2,450,0.01,0.02,0.01,0.0375,0.075,0.0375,4831,10,10
sim_part2,451,0.01,0.02,0.01,0.0375,0.075,0.0375,2898,10,5
sim_part2,452,0.01,0.02,0.01,0.0375,0.075,0.0375,3476,10,5
sim_part2,453,0.01,0.02,0.01,0.0375,0.075,0.0375,9610,10,5
sim_part2,454,0.01,0.02,0.01,0.0375,0.075,0.0375,7741,10,5
sim_part2,455,0.01,0.02,0.01,0.0375,0.075,0.0375,6754,10,5
sim_part2,456,0.01,0.02,0.01,0.0375,0.075,0.0375,9641,10,5
sim_part2,457,0.01,0.02,0.01,0.0375,0.075,0.0375,8212,10,5
sim_part2,458,0.01,0.02,0.01,0.0375,0.075,0.0375,3781,10,5
sim_part2,459,0.01,0.02,0.01,0.0375,0.075,0.0375,8703,10,5
sim_part2,460,0.01,0.02,0.01,0.0375,0.075,0.0375,890,10,5
sim_part2,461,0.01,0.02,0.01,0.0375,0.075,0.0375,7062,10,5
sim_part2,462,0.01,0.02,0.01,0.0375,0.075,0.0375,1792,10,5
sim_part2,463,0.01,0.02,0.01,0.0375,0.075,0.0375,1503,10,5
sim_part2,464,0.01,0.02,0.01,0.0375,0.075,0.0375,3173,10,5
sim_part2,465,0.01,0.02,0.01,0.0375,0.075,0.0375,271,10,5
sim_part2,466,0.01,0.02,0.01,0.0375,0.075,0.0375,970,10,5
sim_part2,467,0.01,0.02,0.01,0.0375,0.075,0.0375,2025,10,5
sim_part2,468,0.01,0.02,0.01,0.0375,0.075,0.0375,8523,10,5
sim_part2,469,0.01,0.02,0.01,0.0375,0.075,0.0375,4288,10,5
sim_part2,470,0.01,0.02,0.01,0.0375,0.075,0.0375,3342,10,5
sim_part2,471,0.01,0.02,0.01,0.0375,0.075,0.0375,702,10,5
